lon,lat,alt,geometry,file_id,date,distance_m,velocity_mps,velocity_kph,acceleration_mps2
-74.03698011,4.73432864,2574.77,POINT (-74.03698011 4.73432864),P1,2025-07-17,0.0,0.0,0.0,
-74.03697963,4.73432664,2575.098,POINT (-74.03697963 4.73432664),P1,2025-07-17,0.2274844537812286,0.2274844537812286,0.8189440336124231,0.2274844537812286
-74.03698014,4.73432979,2575.217,POINT (-74.03698014 4.73432979),P1,2025-07-17,0.3528981339511977,0.3528981339511977,1.2704332822243116,0.12541368016996907
-74.03698036,4.73433354,2574.908,POINT (-74.03698036 4.73433354),P1,2025-07-17,0.4153995592561977,0.4153995592561977,1.4954384133223118,0.06250142530500002
-74.03698195,4.73433966,2574.582,POINT (-74.03698195 4.73433966),P1,2025-07-17,0.6993722597890006,0.6993722597890006,2.5177401352404023,0.28397270053280294
-74.03698017,4.73432868,2574.799,POINT (-74.03698017 4.73432868),P1,2025-07-17,1.2301427492236319,1.2301427492236319,4.428513897205075,0.5307704894346312
-74.03697992,4.73431255,2574.665,POINT (-74.03697992 4.73431255),P1,2025-07-17,1.783900704277812,1.783900704277812,6.422042535400124,0.5537579550541802
-74.03697923,4.73429531,2574.647,POINT (-74.03697923 4.73429531),P1,2025-07-17,1.9079671846905972,1.9079671846905972,6.86868186488615,0.12406648041278512
-74.03697641,4.73427191,2575.055,POINT (-74.03697641 4.73427191),P1,2025-07-17,2.606459514724722,2.606459514724722,9.383254253009,0.6984923300341248
-74.03698076,4.73424432,2574.965,POINT (-74.03698076 4.73424432),P1,2025-07-17,3.0888857924114084,3.0888857924114084,11.11998885268107,0.48242627768668633
-74.036986,4.73421668,2575.174,POINT (-74.036986 4.73421668),P1,2025-07-17,3.1112755486647004,3.1112755486647004,11.200591975192921,0.02238975625329198
-74.03699528,4.73418576,2575.322,POINT (-74.03699528 4.73418576),P1,2025-07-17,3.5708296240741983,3.5708296240741983,12.854986646667115,0.459554075409498
-74.03701022,4.73415307,2575.577,POINT (-74.03701022 4.73415307),P1,2025-07-17,3.976792560497773,3.976792560497773,14.316453217791985,0.40596293642357484
-74.03702608,4.73411957,2575.959,POINT (-74.03702608 4.73411957),P1,2025-07-17,4.101128270994381,4.101128270994381,14.764061775579771,0.12433571049660763
-74.03704335,4.73408746,2575.924,POINT (-74.03704335 4.73408746),P1,2025-07-17,4.034725510615794,4.034725510615794,14.525011838216859,-0.06640276037858683
-74.0370587,4.73405551,2575.912,POINT (-74.0370587 4.73405551),P1,2025-07-17,3.922092323117998,3.922092323117998,14.119532363224792,-0.11263318749779616
-74.03707638,4.73402245,2575.797,POINT (-74.03707638 4.73402245),P1,2025-07-17,4.1487896758890495,4.1487896758890495,14.935642833200578,0.22669735277105163
-74.03709542,4.73398765,2575.802,POINT (-74.03709542 4.73398765),P1,2025-07-17,4.389874235059278,4.389874235059278,15.8035472462134,0.2410845591702282
-74.03711404,4.73394986,2575.433,POINT (-74.03711404 4.73394986),P1,2025-07-17,4.661588238526732,4.661588238526732,16.781717658696234,0.2717140034674541
-74.03713027,4.73391223,2575.621,POINT (-74.03713027 4.73391223),P1,2025-07-17,4.534057344431578,4.534057344431578,16.32260643995368,-0.1275308940951536
-74.03713618,4.73387543,2575.675,POINT (-74.03713618 4.73387543),P1,2025-07-17,4.121894340069437,4.121894340069437,14.838819624249973,-0.41216300436214137
-74.0371248,4.73384299,2575.706,POINT (-74.0371248 4.73384299),P1,2025-07-17,3.8029601177333507,3.8029601177333507,13.690656423840062,-0.31893422233608604
-74.03709809,4.7338222,2575.462,POINT (-74.03709809 4.7338222),P1,2025-07-17,3.7505126534430966,3.7505126534430966,13.501845552395148,-0.05244746429025415
-74.03706568,4.73380814,2575.454,POINT (-74.03706568 4.73380814),P1,2025-07-17,3.9173929870939896,3.9173929870939896,14.102614753538363,0.16688033365089305
-74.03704353,4.73378678,2576.0,POINT (-74.03704353 4.73378678),P1,2025-07-17,3.4084971756470908,3.4084971756470908,12.270589832329527,-0.5088958114468989
-74.03702788,4.73376318,2576.149,POINT (-74.03702788 4.73376318),P1,2025-07-17,3.1345257194657474,3.1345257194657474,11.28429259007669,-0.27397145618134333
-74.03701338,4.7337418,2576.29,POINT (-74.03701338 4.7337418),P1,2025-07-17,2.859620126569024,2.859620126569024,10.294632455648488,-0.2749055928967232
-74.03698356,4.7337298,2576.424,POINT (-74.03698356 4.7337298),P1,2025-07-17,3.564509407263221,3.564509407263221,12.832233866147597,0.7048892806941969
-74.03695317,4.73371668,2576.834,POINT (-74.03695317 4.73371668),P1,2025-07-17,3.6704466164802283,3.6704466164802283,13.213607819328821,0.10593720921700722
-74.03692304,4.7337007,2576.94,POINT (-74.03692304 4.7337007),P1,2025-07-17,3.781034644548174,3.781034644548174,13.611724720373427,0.11058802806794565
-74.03689408,4.7336849,2577.024,POINT (-74.03689408 4.7336849),P1,2025-07-17,3.6572314137040065,3.6572314137040065,13.166033089334423,-0.12380323084416744
-74.03686184,4.73366456,2577.076,POINT (-74.03686184 4.73366456),P1,2025-07-17,4.225211607674108,4.225211607674108,15.21076178762679,0.5679801939701017
-74.03683028,4.73364434,2577.192,POINT (-74.03683028 4.73364434),P1,2025-07-17,4.154385299562551,4.154385299562551,14.955787078425185,-0.07082630811155699
-74.03679333,4.73362636,2577.351,POINT (-74.03679333 4.73362636),P1,2025-07-17,4.556050707807937,4.556050707807937,16.40178254810857,0.40166540824538544
