lon,lat,alt,geometry,file_id,date,distance_m,velocity_mps,velocity_kph,acceleration_mps2
-74.03260838,4.71538503,2594.688,POINT (-74.03260838 4.71538503),P2,2025-07-17,7.892409625770412,7.41688369015914,26.700781284572905,0.30030228584881963
-74.0326078,4.71545663,2594.526,POINT (-74.0326078 4.71545663),P2,2025-07-17,7.917916918702004,7.440854142010335,26.787074911237205,0.02252620705346605
-74.03260719,4.71552849,2594.525,POINT (-74.03260719 4.71552849),P2,2025-07-17,7.946694900010076,7.4678982198421044,26.884433591431577,0.025414643853621084
-74.03260462,4.71560139,2594.467,POINT (-74.03260462 4.71560139),P2,2025-07-17,8.06645266530462,7.5804404545080235,27.289585636228885,0.10576144730529465
-74.03260224,4.71567457,2594.416,POINT (-74.03260224 4.71567457),P2,2025-07-17,8.09668144705653,7.608847920539317,27.39185251394154,0.02669588648798514
-74.03260017,4.71574781,2594.37,POINT (-74.03260017 4.71574781),P2,2025-07-17,8.102265054170767,7.614095109484327,27.41074239414358,0.004931040322382278
-74.0325983,4.71582133,2594.271,POINT (-74.0325983 4.71582133),P2,2025-07-17,8.132619273604485,7.642620455445888,27.513433639605196,0.02680666402914883
-74.03259602,4.71589573,2594.16,POINT (-74.03259602 4.71589573),P2,2025-07-17,8.231172265214665,7.7352355262226515,27.846847894401545,0.08703491588477436
-74.03259419,4.71597125,2594.057,POINT (-74.03259419 4.71597125),P2,2025-07-17,8.35360376231166,7.850290397553134,28.26104543119128,0.10812269498253682
-74.03259215,4.71604707,2593.921,POINT (-74.03259215 4.71604707),P2,2025-07-17,8.387364910857675,7.882017401584242,28.37526264570327,0.029815418850990986
-74.03258929,4.71612273,2593.828,POINT (-74.03258929 4.71612273),P2,2025-07-17,8.372632302512237,7.868172448302294,28.32542081388826,-0.013010780364541315
-74.03258631,4.71619859,2593.776,POINT (-74.03258631 4.71619859),P2,2025-07-17,8.395246589623266,7.8894242009597715,28.401927123455177,0.019971312329997347
-74.03258457,4.71627486,2593.683,POINT (-74.03258457 4.71627486),P2,2025-07-17,8.436281521106926,7.9279867348979725,28.540752245632703,0.036239100931045765
-74.03258338,4.71635113,2593.685,POINT (-74.03258338 4.71635113),P2,2025-07-17,8.435105841290275,7.926881891020066,28.536774807672238,-0.0010382758785685577
-74.03258244,4.71642612,2593.69,POINT (-74.03258244 4.71642612),P2,2025-07-17,8.293183651455097,7.79351066157663,28.05663838167587,-0.12533547335981407
-74.0325811,4.71650054,2593.627,POINT (-74.0325811 4.71650054),P2,2025-07-17,8.230839027838538,7.734922366747011,27.845720520289237,-0.055058288781307876
-74.03257905,4.71657449,2593.539,POINT (-74.03257905 4.71657449),P2,2025-07-17,8.180685071699987,7.6877902389281045,27.676044860141175,-0.044292367816428056
-74.0325784,4.71664771,2593.529,POINT (-74.0325784 4.71664771),P2,2025-07-17,8.097119335385809,7.609259425638714,27.39333393229937,-0.07379924964350232
-74.03257716,4.71672152,2593.509,POINT (-74.03257716 4.71672152),P2,2025-07-17,8.163200777207397,7.671359391467704,27.616893809283734,0.05835837792967012
-74.03257593,4.71679423,2593.446,POINT (-74.03257593 4.71679423),P2,2025-07-17,8.041559464360201,7.557047094959419,27.20536954185391,-0.10742486107012933
-74.03257436,4.71686926,2593.496,POINT (-74.03257436 4.71686926),P2,2025-07-17,8.29877945689779,7.798769313888049,28.075569529996976,0.2271582023906708
-74.03257441,4.71694306,2593.359,POINT (-74.03257441 4.71694306),P2,2025-07-17,8.160937587164943,7.669232560992661,27.609237219573583,-0.12173202803474507
-74.03257346,4.71702162,2593.373,POINT (-74.03257346 4.71702162),P2,2025-07-17,8.68794435487273,8.164486619683746,29.392151830861486,0.4654144836067685
-74.03257209,4.71709964,2593.258,POINT (-74.03257209 4.71709964),P2,2025-07-17,8.628929632267921,8.109027595846758,29.19249934504833,-0.05211755963927855
-74.03256934,4.71717701,2593.13,POINT (-74.03256934 4.71717701),P2,2025-07-17,8.561150943332134,8.045332643817561,28.96319751774322,-0.059857264542918766
-74.03256624,4.71725631,2593.017,POINT (-74.03256624 4.71725631),P2,2025-07-17,8.77587753152462,8.247121730462048,29.689638229663373,0.1896310830977061
-74.0325646,4.71733521,2592.837,POINT (-74.0325646 4.71733521),P2,2025-07-17,8.726799889690088,8.201001067884492,29.523603844384173,-0.04334184441388702
-74.03256309,4.71741107,2592.63,POINT (-74.03256309 4.71741107),P2,2025-07-17,8.39040691710129,7.884876123769663,28.38555404557079,-0.29707808555728304
-74.03256144,4.71748704,2592.585,POINT (-74.03256144 4.71748704),P2,2025-07-17,8.40289253551838,7.896609470616854,28.427794094220673,0.011026400426271926
-74.03255757,4.71756358,2592.476,POINT (-74.03255757 4.71756358),P2,2025-07-17,8.47481310967043,7.964196754945517,28.671108317803863,0.06351507974986521
-74.03255576,4.71763732,2592.513,POINT (-74.03255576 4.71763732),P2,2025-07-17,8.15677318866474,7.665319071858161,27.595148658689382,-0.28086999004778274
-74.03255291,4.71770946,2592.649,POINT (-74.03255291 4.71770946),P2,2025-07-17,7.983634001986496,7.5026117022852175,27.00940212822678,-0.1529040803601808
-74.0325504,4.71777982,2592.508,POINT (-74.0325504 4.71777982),P2,2025-07-17,7.785516315819991,7.316430813946318,26.339150930206745,-0.17496329506659766
-74.03254823,4.71784947,2592.447,POINT (-74.03254823 4.71784947),P2,2025-07-17,7.705783272896002,7.241501770261263,26.06940637294055,-0.0704144904253694
-74.03254696,4.71792175,2592.27,POINT (-74.03254696 4.71792175),P2,2025-07-17,7.99409342698695,7.512440935988573,27.04478736955886,0.2546147975830699
-74.03254563,4.71799316,2592.149,POINT (-74.03254563 4.71799316),P2,2025-07-17,7.898023975339822,7.422159769294242,26.719775169459272,-0.08484163196463015
-74.03254331,4.71806469,2592.072,POINT (-74.03254331 4.71806469),P2,2025-07-17,7.914102018888787,7.437269093901345,26.774168738044843,0.014198971994791997
-74.03254086,4.71813635,2591.895,POINT (-74.03254086 4.71813635),P2,2025-07-17,7.9289514055080925,7.451223789444007,26.824405641998425,0.013113910539254477
-74.03254172,4.71820738,2591.88,POINT (-74.03254172 4.71820738),P2,2025-07-17,7.855203925306581,7.381919672066352,26.574910819438866,-0.06512847181180462
-74.03254105,4.71827605,2591.946,POINT (-74.03254105 4.71827605),P2,2025-07-17,7.594015246519815,7.136467884386403,25.69128438379105,-0.2306630607235001
