lon,lat,alt,geometry,file_id,date,distance_m,velocity_mps,velocity_kph,acceleration_mps2
-74.03696467,4.73430615,2575.948,POINT (-74.03696467 4.73430615),P3,2025-07-18,0.0,0.0,0.0,
-74.03696252,4.73430514,2576.352,POINT (-74.03696252 4.73430514),P3,2025-07-18,0.2633793313060457,0.2239125285070319,0.8060851026253149,0.19035973769769196
-74.03696032,4.73430413,2576.606,POINT (-74.03696032 4.73430413),P3,2025-07-18,0.2684133010149556,0.2281921691316793,0.8214918088740455,0.0036383460638857675
-74.03696172,4.73430452,2576.865,POINT (-74.03696172 4.73430452),P3,2025-07-18,0.16119538997295382,0.13704062188000793,0.4933462387680286,-0.07749269208498988
-74.03696379,4.73430638,2576.906,POINT (-74.03696379 4.73430638),P3,2025-07-18,0.3082928415483485,0.26209584985047724,0.9435450594617181,0.10631598219586005
-74.03696366,4.73430614,2576.983,POINT (-74.03696366 4.73430614),P3,2025-07-18,0.030205309938975536,0.025679111907667546,0.09244480286760316,-0.20099021936025296
-74.03696442,4.73430694,2576.623,POINT (-74.03696442 4.73430694),P3,2025-07-18,0.12221023572782443,0.1038973056676959,0.3740303004037052,0.06649737264200757
-74.03697383,4.73431486,2577.292,POINT (-74.03697383 4.73431486),P3,2025-07-18,1.362683179975827,1.1584881580090274,4.170557368832498,0.8965627755115844
-74.0369804,4.73432078,2577.319,POINT (-74.0369804 4.73432078),P3,2025-07-18,0.9797145190683354,0.8329064930487436,2.998463374975477,-0.27679398180290327
-74.03699149,4.73432322,2577.431,POINT (-74.03699149 4.73432322),P3,2025-07-18,1.2595878905305873,1.070841466742946,3.855029280274606,0.202280950885306
-74.03699246,4.73432281,2577.497,POINT (-74.03699246 4.73432281),P3,2025-07-18,0.11677476408443457,0.0992763272740441,0.3573947781865588,-0.8259782797268241
-74.03699892,4.73432145,2577.664,POINT (-74.03699892 4.73432145),P3,2025-07-18,0.7322959490982103,0.6225630415452162,2.2412269495627783,0.4448733723545045
-74.03700465,4.73432113,2577.712,POINT (-74.03700465 4.73432113),P3,2025-07-18,0.6366830017505268,0.5412774801745998,1.9485989286285592,-0.06910510208737274
-74.03701022,4.73432297,2577.732,POINT (-74.03701022 4.73432297),P3,2025-07-18,0.6505844760059525,0.5530958496536034,1.9911450587529722,0.01004741328695631
-74.03701635,4.73432472,2577.681,POINT (-74.03701635 4.73432472),P3,2025-07-18,0.7070730801733595,0.6011197630268947,2.164031146896821,0.04082763753288299
-74.03702104,4.73432726,2577.504,POINT (-74.03702104 4.73432726),P3,2025-07-18,0.5912902945355012,0.5026867684513429,1.8096723664248344,-0.08368303083858902
-74.0370255,4.73432914,2577.362,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.5367020917304285,0.45627848555333733,1.6426025479920143,-0.0394541056651378
-74.0370255,4.73432914,2577.475,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,-0.38790617660460974
-74.0370255,4.73432914,2577.523,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.0370255,4.73432914,2577.59,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.0370255,4.73432914,2577.535,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.0370255,4.73432914,2577.481,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.0370255,4.73432914,2577.41,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.0370255,4.73432914,2577.492,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.0370255,4.73432914,2577.42,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.0370255,4.73432914,2577.299,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.0370255,4.73432914,2577.189,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.0370255,4.73432914,2577.174,POINT (-74.0370255 4.73432914),P3,2025-07-18,0.0,0.0,0.0,0.0
-74.03702921,4.73433686,2577.194,POINT (-74.03702921 4.73433686),P3,2025-07-18,0.9477344760152666,0.8057185878085422,2.9005869161107523,0.6849834623191804
-74.03702605,4.7343231,2577.623,POINT (-74.03702605 4.7343231),P3,2025-07-18,1.5614703600175486,1.3274875244255324,4.778955087931917,0.4435830302818214
-74.0370243,4.73430865,2577.937,POINT (-74.0370243 4.73430865),P3,2025-07-18,1.6096591081007232,1.3684552965562695,4.92643906760257,0.03482884324903248
-74.03702214,4.73429327,2578.033,POINT (-74.03702214 4.73429327),P3,2025-07-18,1.717548006834164,1.4601772854969002,5.256638227788841,0.07797765436470754
-74.03702066,4.73427226,2578.138,POINT (-74.03702066 4.73427226),P3,2025-07-18,2.3291192233911624,1.9801059252362014,7.128381330850325,0.44201849776879704
-74.03702328,4.73424818,2578.275,POINT (-74.03702328 4.73424818),P3,2025-07-18,2.678628209762275,2.2772417729362187,8.198070382570387,0.25261070653748746
-74.03703019,4.73422195,2578.49,POINT (-74.03703019 4.73422195),P3,2025-07-18,3.0001583309633566,2.550591325736355,9.182128772650879,0.23238873464457008
-74.03703873,4.73419291,2578.589,POINT (-74.03703873 4.73419291),P3,2025-07-18,3.3481459280535346,2.846433760931115,10.247161539352016,0.25151110899876417
-74.03704993,4.73416121,2578.687,POINT (-74.03704993 4.73416121),P3,2025-07-18,3.7191501552039967,3.1618438357312795,11.382637808632607,0.2681465816428539
-74.0370629,4.73412764,2578.923,POINT (-74.0370629 4.73412764),P3,2025-07-18,3.981351813108756,3.3847551625580965,12.185118585209148,0.18950856384646103
